"ID" "주민번호" "직종" "가입통신사" "통화료"
"38" "2009SP038" "810126-1******" "교육기관(학생포함)        " "SK 텔레콤      " 35000
"39" "2009SP039" "800813-2******" "교육기관(학생포함)        " "K T F          " 40000
"40" "2009SP040" "810222-1******" "교육기관(학생포함)        " "SK 텔레콤      " 20000
"41" "2009SP041" "820118-1******" "교육기관(학생포함)        " "KTF            " 30000
"42" "2009SP042" "740126-2******" "교육기관(학생포함)        " "SK 텔레콤      " 45000
"43" "2009SP043" "860210-1******" "기타                      " "KTF            " 30000
"44" "2009SP044" "820110-2******" "금융                      " "SK 텔레콤      " 40000
"45" "2009SP045" "801205-1******" "서비스                    " "SK 텔레콤      " 40000
"46" "2009SP046" "800908-2******" "공공기관                  " "SK 텔레콤      " 42000
"47" "2009SP047" "810725-2******" "서비스                    " "SK 텔레콤      " 80000
"48" "2009SP048" "780507-1******" "컨설팅/솔루션             " "KTF            " 60000
"49" "2009SP049" "781123-1******" "교육기관(학생포함)        " "SK 텔레콤      " 50000
"50" "2009SP050" "710503-1******" "컨설팅/솔루션             " "KTF            " 40000
"51" "2009SP051" "811007-2******" "컨설팅/솔루션             " "SK 텔레콤      " 45000
"52" "2009SP052" "681025-1******" "리서치/광고               " "SK 텔레콤      " 25000
"53" "2009SP053" "711003-1******" "금융                      " "L G 텔레콤     " 38000
"54" "2009SP054" "791008-1******" "소프트유통                " "LG 텔레콤      " 19000
"55" "2009SP055" "800124-2******" "소프트유통                " "SK 텔레콤      " 35000
"56" "2009SP056" "550115-1******" "리서치/광고               " "SK 텔레콤      " 40000
"57" "2009SP057" "710116-2******" "의료/보건                 " "SK 텔레콤      " 21000
"58" "2009SP058" "680417-2******" "통신                      " "LG  텔레콤     " 17000
"59" "2009SP059" "720408-2******" "제조                      " "SK 텔레콤      " 26000
"60" "2009SP060" "760409-2******" "제조                      " "KTF            " 90000
"61" "2009SP061" "780420-1******" "닷컴                      " "SK 텔레콤      " 21000
"62" "2009SP062" "790721-2******" "통신                      " "KTF            " 39000
"63" "2009SP063" "800723-1******" "의료/보건                 " "SK 텔레콤      " 49000
"64" "2009SP064" "810717-2******" "리서치/광고               " "SK 텔레콤      " 59000
"65" "2009SP065" "550904-2******" "공공기관                  " "SK 텔레콤      " 30000
"66" "2009SP066" "630904-1******" "제조                      " "SK 텔 레콤     " 42000
"67" "2009SP067" "710908-2******" "교육기관(학생포함)        " "LG 텔레콤      " 48000
"68" "2009SP068" "761208-1******" "금융                      " "SK 텔레콤      " 53000
"69" "2009SP069" "741202-1******" "서비스                    " "SK 텔레콤      " 18000
"70" "2009SP070" "640102-1******" "컨설팅/솔루션             " "KTF            " 36000
"71" "2009SP071" "780228-2******" "서비스                    " "SK 텔레콤      " 64000
"72" "2009SP072" "811228-2******" "닷컴                      " "KTF            " 17000
"73" "2009SP073" "710307-1******" "통신                      " "KTF            " 22000
"74" "2009SP074" "730302-2******" "도소매유통                " "KTF            " 29000
"75" "2009SP075" "740306-1******" "통신                      " "SK 텔레콤      " 66000
"76" "2009SP076" "760406-2******" "제조                      " "KTF            " 24000
"77" "2009SP077" "800406-1******" "통신                      " "LG 텔레콤      " 44000
"78" "2009SP078" "830423-2******" "리서치/광고               " "S K 텔 레 콤   " 16000
"79" "2009SP079" "830729-2******" "기타                      " "KTF            " 37000
"80" "2009SP080" "680714-2******" "금융                      " "KTF            " 32000
"81" "2009SP081" "710715-1******" "서비스                    " "KTF            " 21000
"82" "2009SP082" "720812-1******" "닷컴                      " "SK 텔레콤      " 58000
"83" "2009SP083" "760816-2******" "서비스                    " "SK 텔레콤      " 47000
"84" "2009SP084" "780824-1******" "소프트유통                " "SK 텔레콤      " 31000
"85" "2009SP085" "780530-2******" "금융                      " "SK 텔레콤      " 46000
"86" "2009SP086" "830514-1******" "기타                      " "S K 텔 레 콤   " 21000
"87" "2009SP087" "550514-2******" "제조                      " "SK 텔레콤      " 22000
"88" "2009SP088" "630629-2******" "공공기관                  " "LG 텔레콤      " 51000
"89" "2009SP089" "711011-1******" "도소매유통                " "LG 텔레콤      " 41000
"90" "2009SP090" "811150-2******" "통신                      " "SK 텔레콤      " 54000
"91" "2009SP091" "641111-2******" "도소매유통                " "SK 텔레콤      " 34000
"92" "2009SP092" "730523-2******" "공공기관                  " "SK 텔레콤      " 62000
"93" "2009SP093" "740523-1******" "금융                      " "KTF            " 22000
"94" "2009SP094" "820522-2******" "닷컴                      " "K T F          " 52000
"95" "2009SP095" "740925-1******" "통신                      " "LG 텔레콤      " 27000
"96" "2009SP096" "760903-2******" "교육기관(학생포함)        " "L G 텔 레 콤   " 23000
"97" "2009SP097" "790318-1******" "통신                      " "SK 텔레콤      " 61000
"98" "2009SP098" "801211-2******" "교육기관(학생포함)        " "SK 텔레콤      " 28000
"99" "2009SP099" "800414-2******" "금융                      " "SK 텔레콤      " 85000
"100" "2009SP100" "770615-1******" "금융                      " "LG 텔레콤      " 45000
